8192 90111
617 6753 15
617 436 19
617 6754 9
617 270 11
617 2170 20
617 723 3
617 3456 6
617 5586 12
618 619 6
618 4038 5
618 39 11
618 2424 5
618 7105 13
618 1373 8
619 620 9
619 2909 12
619 7992 6
619 5850 9
620 621 9
620 911 1
620 3103 15
620 7381 4
620 7230 8
620 379 15
620 139 11
620 3127 2
620 2596 14
620 6916 19
620 6390 1
620 7100 4
620 3661 3
621 622 15
621 5600 14
621 2496 14
621 4056 18
621 4499 18
622 623 2
622 5594 12
622 5274 12
622 6599 17
622 4695 16
622 7097 6
622 3507 4
622 368 20
623 624 6
623 5093 6
623 1469 11
623 3156 17
623 4663 18
623 3928 4
623 4509 12
624 625 1
624 5922 19
624 4915 12
624 1250 3
624 4492 13
624 6043 11
624 2274 16
625 626 4
625 881 12
625 5397 2
625 5688 11
625 6286 11
625 6582 13
625 731 3
626 627 20
626 1642 12
626 954 4
626 7686 4
626 4370 11
626 4582 6
626 7146 8
626 605 7
626 7002 17
627 628 2
627 5810 14
627 5893 17
627 3948 12
627 5048 12
627 1249 6
627 2944 10
627 4026 16
627 1155 12
627 5574 5
627 3918 4
627 4914 3
627 5536 13
627 2486 19
627 4439 5
627 7374 17
628 629 17
628 1496 13
628 4861 19
628 2331 12
628 6979 16
628 5019 15
628 3605 19
628 4935 15
629 630 9
629 7977 16
629 5039 16
629 4910 10
629 978 10
629 4184 11
629 715 2
629 4034 3
629 7309 12
629 6359 18
629 2870 5
629 7540 15
629 616 11
629 4886 12
629 1477 9
629 7462 18
630 631 14
630 1557 5
630 1467 19
630 5212 20
630 6104 12
630 2578 8
630 5207 1
630 4045 13
630 5838 8
630 6710 2
630 2355 13
630 810 13
630 5459 2
631 632 14
631 5773 8
631 2425 7
631 5311 12
631 5659 9
631 90 11
632 633 9
632 7675 4
632 7182 17
632 631 17
632 1827 11
632 736 12
632 7038 7
632 3403 4
632 4354 19
632 5817 18
632 6412 11
632 6803 6
632 7582 17
632 4186 10
633 634 2
633 5033 14
633 4409 7
633 4655 19
633 276 13
633 4397 1
633 3963 14
633 8142 17
634 635 4
634 5147 11
634 253 12
634 288 5
634 2217 12
634 7982 19
634 6064 15
634 6832 2
634 6583 20
634 5498 5
634 2342 14
634 901 6
634 2892 17
634 1678 20
634 3298 15
634 5878 4
634 1502 20
634 6535 16
634 4057 2
634 3813 12
635 636 19
635 5862 3
635 5773 12
635 7342 17
635 5943 15
635 1359 7
635 2898 9
635 7370 17
635 7604 1
636 637 4
636 1916 11
636 715 14
636 7796 18
636 226 1
636 5116 10
636 2998 2
636 4610 5
636 3673 12
637 638 9
637 2293 8
637 7798 8
637 3186 12
637 1467 14
637 2659 14
638 639 6
638 5938 1
638 2370 15
638 6121 4
638 3423 16
638 5723 14
638 5415 13
638 6922 15
638 8129 15
639 640 5
639 3201 18
639 1074 17
639 6013 4
639 6461 10
639 837 19
639 3386 18
639 6988 10
639 5758 4
639 7228 14
639 3191 19
639 3423 15
639 312 2
639 5213 12
639 5007 19
639 3117 11
639 6168 18
639 8115 2
639 1671 4
639 7250 17
640 641 11
640 569 2
640 8132 8
640 4946 10
640 7582 6
640 1900 9
640 3510 20
640 2603 2
641 642 2
641 3138 14
641 7896 19
641 2323 12
641 7925 15
641 5995 7
641 2509 16
641 1407 18
641 3070 19
641 4790 10
641 6123 6
641 760 10
641 3701 17
641 6353 11
641 5275 11
642 643 15
642 6502 11
642 4388 4
642 4545 11
642 4611 16
642 31 7
642 5927 2
642 3083 8
643 644 4
643 1387 18
643 7142 12
643 2813 15
643 6507 17
643 7229 17
643 5983 18
643 4230 18
643 2858 8
643 1445 15
644 645 14
644 4171 7
644 1331 13
644 6117 4
644 5451 9
644 263 10
644 4969 19
644 7685 11
644 1338 5
644 5762 3
644 7087 12
644 2864 4
644 7246 4
644 3481 5
645 646 19
645 2071 16
645 6047 6
645 4729 6
645 4002 14
645 7887 7
645 8167 16
645 309 15
645 4644 1
645 4433 9
645 7779 3
645 6590 14
645 1554 9
645 1670 10
646 647 6
646 8012 1
646 5280 13
646 7959 19
646 2241 2
646 3200 16
646 5231 3
646 7834 17
646 6405 4
647 648 13
647 2033 17
647 536 7
647 1122 18
647 3499 8
647 5558 3
647 5062 20
648 649 20
648 178 1
648 7528 10
648 3699 14
648 640 12
648 7670 12
648 4674 13
648 5097 14
648 6393 8
648 2813 5
648 1198 10
648 8043 9
648 1016 9
648 2215 13
649 650 11
649 652 4
649 7468 10
649 8078 5
649 2260 14
649 6144 19
649 2633 7
649 503 4
649 6107 14
649 2541 4
649 6695 19
649 5590 4
649 5771 5
649 877 20
650 651 15
650 4211 9
650 2235 13
650 5809 7
650 5870 8
650 4678 5
650 1439 2
650 2499 14
650 6568 15
650 844 12
650 471 4
650 2525 14
650 7611 3
650 3454 13
651 652 14
651 3533 10
651 7034 16
651 6912 1
651 3116 3
651 5289 9
651 4056 11
651 2561 18
651 4361 1
652 653 12
652 8123 2
652 2990 12
652 6695 18
652 1825 17
652 3571 19
652 6727 14
652 641 1
652 1769 5
652 4204 3
653 654 9
653 2378 18
653 3638 5
653 2023 16
653 1276 3
653 6219 17
653 1798 13
653 8157 3
653 6533 10
653 232 16
653 4675 16
653 6729 4
654 655 13
654 7156 16
654 2104 18
654 526 5
654 4712 7
654 7352 11
654 4589 9
654 6482 16
654 586 2
654 6860 5
654 407 14
655 656 15
655 7353 17
655 2382 16
655 6184 13
655 2094 17
655 248 3
655 2714 20
655 3938 15
655 3437 13
655 6368 7
656 657 9
656 7077 9
656 5837 8
656 961 13
656 3619 9
656 2265 17
656 6278 20
656 5617 3
656 3479 18
656 7812 13
657 658 1
657 1345 18
657 2546 16
657 1441 19
657 3870 8
657 4800 12
657 846 19
657 4647 14
657 5371 17
657 1080 15
657 5694 6
657 3878 10
658 659 5
658 5780 16
658 3445 4
658 4369 4
658 2348 11
658 4306 18
658 1376 12
658 4680 9
659 660 12
659 5612 14
659 7542 13
659 23 7
659 3611 2
659 1402 17
659 2478 10
659 6823 3
659 2463 14
659 3794 16
660 661 8
660 4468 3
660 7352 14
660 5648 1
660 22 16
660 3543 19
660 239 19
660 1502 6
660 4318 20
660 3831 15
660 4276 19
660 1601 2
661 662 4
661 5207 20
661 6768 13
661 7293 16
661 4531 16
661 5587 6
661 2014 3
661 1662 9
661 889 5
661 7463 17
661 2798 16
661 3008 13
662 663 16
662 4501 14
662 2917 10
662 3712 17
662 5715 9
662 3180 14
662 5732 1
662 2059 14
662 873 8
662 6709 11
663 664 3
663 4379 18
663 3568 14
663 3210 20
663 7304 19
663 3826 6
663 7221 15
663 2654 16
663 5113 15
663 6396 13
663 4019 5
664 665 1
664 4065 15
664 5559 16
664 194 17
664 2438 15
664 7231 16
664 269 10
664 599 12
664 1406 19
664 3035 8
664 546 6
664 2224 1
664 6564 1
664 1523 2
665 666 7
665 2069 12
665 701 13
665 4367 8
665 4452 17
665 7128 10
665 5719 6
665 6762 10
665 5753 14
665 3544 3
666 667 3
666 3110 1
666 5725 14
666 855 10
666 699 18
666 404 17
666 1460 12
666 10 9
666 3776 15
666 5003 7
666 2470 10
666 6644 6
667 668 2
667 4990 13
667 519 1
667 6410 2
667 8167 18
667 19 17
667 1609 9
667 7280 16
667 637 6
667 5535 16
668 669 1
668 6608 6
668 1452 2
668 2083 10
668 4718 6
668 1395 8
668 3116 6
668 4264 1
668 5216 20
668 5105 19
668 6068 8
668 7785 5
668 15 12
668 4891 1
669 670 2
669 274 20
669 873 7
669 4161 17
669 5895 14
669 7195 17
669 2107 1
669 6710 16
670 671 1
670 167 3
670 1723 13
670 3916 3
670 4452 8
670 2525 14
670 3906 20
670 1099 8
670 549 5
670 4082 18
670 7701 13
670 2741 1
670 274 19
670 5349 14
670 6828 13
670 7132 7
670 2787 2
670 2431 13
671 672 7
671 2920 6
671 1012 4
671 3961 17
671 2981 1
671 1785 18
672 673 18
672 6595 3
672 7628 16
672 728 18
672 7745 20
673 674 20
673 4838 13
673 3025 12
673 7071 9
673 1014 19
673 2835 17
673 8190 4
673 5729 18
673 40 16
674 675 15
674 1675 6
674 7050 19
674 1261 4
674 5427 3
674 1764 16
674 2999 9
674 4117 14
674 3974 16
675 676 4
675 2596 12
675 7227 15
675 4015 19
675 4290 20
675 5154 10
675 170 15
675 4629 9
675 1267 15
675 2067 20
675 5892 14
675 6284 14
676 677 10
676 4235 12
676 1060 16
676 2879 20
676 4857 13
676 3007 1
676 5498 15
676 6371 1
676 923 1
676 726 1
677 678 1
677 4924 13
677 7999 2
677 7484 9
677 442 14
677 2760 4
677 1759 7
677 3716 4
677 7554 14
677 4592 2
677 6622 15
677 3819 16
677 5879 15
677 6920 5
678 679 2
678 5948 19
678 5045 1
678 3846 13
678 2519 16
678 483 10
678 4289 10
678 7102 9
678 6938 19
679 680 16
679 1978 3
679 7806 15
679 2223 1
679 357 12
679 1660 2
679 1130 20
679 8104 10
679 6008 19
679 7167 19
679 2627 2
680 681 10
680 3352 4
680 7145 11
680 4495 10
680 1033 15
680 8190 15
680 138 19
681 682 17
681 7189 13
681 5321 5
681 7698 1
681 7704 10
681 651 11
681 3133 7
681 1710 16
681 3815 18
681 6255 4
682 683 10
682 4077 13
682 2372 9
682 1078 17
682 8177 3
682 865 14
682 2355 5
682 4087 16
683 684 7
683 478 17
683 1286 6
683 5305 6
683 1955 9
683 6640 5
683 3218 18
683 1457 7
683 7951 18
684 685 4
684 7684 17
684 1926 20
684 6944 13
684 8106 18
684 6671 15
684 3875 8
684 730 4
684 2100 16
684 2185 13
685 686 10
685 978 19
685 7574 16
685 4759 12
685 5414 8
685 6972 5
685 3741 11
685 971 7
685 3757 7
685 6216 14
685 5648 18
685 4353 7
685 245 10
685 1985 15
685 2913 14
685 4222 12
686 687 9
686 5206 18
686 1044 5
686 3485 20
686 6981 12
686 5444 12
686 2325 12
687 688 13
687 4119 16
687 2198 7
687 496 7
687 3873 8
687 3227 1
687 8001 15
687 581 8
687 8130 11
687 689 12
687 2290 15
687 778 11
687 5992 6
687 4936 5
687 771 9
687 3464 9
688 689 8
688 2220 14
688 428 18
688 1831 2
688 91 15
688 4759 10
688 3812 10
688 6016 1
688 3201 1
688 3526 6
689 690 1
689 231 20
689 3532 4
689 1921 4
689 3555 8
689 1230 9
689 2448 11
689 4728 3
689 315 7
689 4336 17
690 691 13
690 2693 14
690 3423 10
690 2469 19
690 7252 12
690 684 9
690 5355 10
690 3750 8
690 3954 19
691 692 19
691 240 14
691 2471 15
691 5266 17
691 4687 4
691 363 9
691 4902 3
691 5045 3
691 6454 12
691 283 8
691 6150 3
691 4526 20
691 1207 6
691 3453 17
691 7510 13
691 6827 5
692 693 13
692 6563 1
692 6801 2
692 1781 18
692 5461 9
692 989 19
692 7987 13
692 6371 15
692 6490 7
692 2165 12
692 2942 5
692 1127 5
692 6573 15
692 7364 10
693 694 18
693 3539 1
693 7452 19
693 7424 13
693 7358 20
693 4441 9
693 7273 5
693 5095 3
693 5373 1
693 5178 4
694 695 1
694 3011 13
694 5696 12
694 7309 6
694 3355 11
694 5922 12
694 1258 1
694 109 2
694 8101 8
694 4097 18
694 1830 10
694 2951 13
694 1904 5
694 1009 9
695 696 6
695 1366 11
695 6973 3
695 7520 16
695 515 14
695 7220 20
695 2417 2
695 3844 14
695 5182 17
695 7383 19
695 4269 18
696 697 8
696 4330 3
696 1292 2
696 4616 16
696 4898 7
696 5285 15
696 4576 3
696 6514 20
696 497 1
696 5421 12
696 195 5
696 285 7
697 698 1
697 3704 7
697 5046 12
697 7278 6
697 683 16
697 8004 15
697 5105 5
697 6546 8
697 2448 3
697 3587 9
697 4286 18
697 6960 11
698 699 13
698 667 18
698 1671 5
698 5713 9
698 7 18
698 5906 6
698 7331 18
698 5446 11
698 5498 10
698 4325 3
698 3212 10
698 695 13
699 700 19
699 3334 9
699 1759 13
699 664 15
699 8008 17
699 62 7
699 6395 6
699 7182 17
699 6579 20
699 1203 16
699 3784 1
699 864 6
699 8091 15
699 3864 20
700 701 11
700 7496 8
700 3582 18
700 4823 6
700 6314 18
700 3508 15
700 1042 5
700 1162 4
700 7268 13
700 2045 11
700 4707 13
701 702 11
701 1029 14
701 5585 14
701 5290 13
701 29 19
701 3345 14
701 1082 1
701 7911 6
701 3966 20
702 703 18
702 3656 18
702 491 5
702 3490 6
702 7210 12
702 1978 16
702 1040 15
702 7637 4
702 7242 17
702 3655 8
702 6123 7
702 2447 11
702 2775 16
702 7636 11
702 5104 19
703 704 11
703 951 15
703 7080 3
703 3265 7
703 2477 9
703 5325 12
703 928 8
703 4582 5
703 2840 2
703 2619 15
703 5035 4
703 7871 12
704 705 14
704 5340 2
704 701 6
704 6090 9
704 7563 4
704 6169 20
704 7452 20
704 605 4
704 8169 14
704 4507 8
704 5074 6
704 8143 6
704 1026 11
704 5774 6
704 4899 8
704 2706 17
705 706 14
705 105 17
705 5704 12
705 1864 8
705 3978 16
705 911 5
705 3063 19
705 8104 14
705 736 13
705 7729 9
706 707 4
706 3742 9
706 6491 2
706 183 10
706 128 8
706 4323 15
707 708 13
707 830 19
707 3382 3
707 1432 7
707 3568 19
707 2706 16
707 4041 12
707 3814 18
707 1681 7
707 3628 2
707 7820 5
707 5442 14
707 5963 2
708 709 2
708 3414 5
708 2684 16
708 1326 11
708 4633 15
708 6531 6
708 1111 13
708 988 19
708 2811 1
708 6062 2
708 5008 8
709 710 19
709 543 6
709 2962 3
709 7544 8
709 7925 4
709 7658 6
709 4955 6
709 1993 16
709 2484 1
710 711 13
710 4139 11
710 5979 17
710 2191 13
710 5753 13
710 6089 19
710 4549 12
710 4252 5
710 5126 7
710 837 15
710 1673 14
710 6061 7
710 6073 4
710 2537 5
710 8042 15
710 4563 14
710 1890 8
710 2491 14
710 895 11
711 712 19
711 5439 1
711 5866 8
711 1337 16
711 394 9
712 713 1
712 2534 5
712 2884 10
712 7824 12
712 212 13
712 699 11
712 4814 8
712 6450 3
712 771 1
712 2517 7
713 714 18
713 3168 5
713 6928 1
713 5469 10
713 3907 16
713 6936 11
713 6850 19
713 3726 12
713 6650 3
713 7415 1
713 3929 8
714 715 12
714 6079 15
714 94 20
714 7121 20
714 4324 13
714 7263 16
714 2921 1
714 7566 10
714 6880 6
714 139 3
714 7950 19
715 716 13
715 4399 19
715 6812 3
715 849 17
715 7242 15
715 3011 14
715 5075 14
715 4090 4
716 717 19
716 6497 8
716 86 13
716 7347 10
716 2572 4
716 7417 8
716 6900 15
716 3280 10
716 3389 3
716 1292 3
716 4689 19
716 4189 15
716 3985 6
716 7268 15
716 2556 13
717 718 17
717 4032 17
717 4591 8
717 4653 10
717 1371 15
717 4943 5
717 4430 5
717 3911 14
717 2244 18
717 2738 4
717 6563 16
717 4525 3
718 719 12
718 7156 2
718 3470 4
718 2621 7
718 3801 10
718 2477 14
718 1549 8
718 2902 11
718 5139 11
718 1935 15
718 3498 4
718 2809 18
718 1129 2
718 276 9
719 720 14
719 2412 3
719 4553 1
719 2342 4
719 3901 1
719 7638 8
719 337 3
719 8155 13
719 2322 1
720 721 8
720 515 18
720 2555 8
720 7812 1
720 6233 9
720 2580 10
720 6474 18
720 2928 1
720 2399 19
721 722 12
721 2257 18
721 6392 16
721 969 2
721 7158 15
721 901 8
721 2096 14
721 4270 14
721 4476 18
721 7396 12
721 7280 18
721 1869 5
722 723 13
722 3140 4
722 3888 7
722 5500 9
722 2752 6
722 7296 17
722 7202 2
722 6076 2
722 370 2
722 6269 16
722 3032 7
722 4079 3
723 724 3
723 1227 20
723 609 9
723 6970 4
723 6224 2
723 547 15
724 725 10
724 4451 15
724 4973 13
724 3381 13
724 2540 1
724 8141 2
724 249 18
724 7118 5
724 7515 2
724 3190 13
725 726 17
725 208 13
725 523 6
725 7469 9
725 4687 15
725 933 5
725 6488 18
725 5288 14
725 547 14
725 508 17
725 2352 3
725 2791 19
725 4457 11
725 2123 15
725 5429 6
726 727 11
726 5135 7
726 858 8
726 6477 10
726 4361 19
726 6391 17
726 5998 12
726 7732 3
726 262 19
727 728 17
727 1622 18
727 3733 10
727 4219 5
727 5189 4
727 1750 17
727 7416 9
727 2555 6
727 7061 3
728 729 19
728 4065 2
728 3276 10
728 1512 15
728 6833 11
728 486 19
728 176 8
728 8065 9
728 4427 15
728 4677 7
729 730 13
729 140 6
729 1708 3
729 5462 15
729 933 14
729 5415 20
729 4586 5
729 5869 19
729 4370 2
729 36 2
729 4034 19
729 3197 14
729 5834 12
729 7453 4
730 731 8
730 5602 9
730 5428 2
730 1428 9
730 1788 8
730 210 1
730 3622 15
730 1825 19
731 732 17
731 5778 9
731 4056 15
731 2799 6
732 733 20
732 2002 20
732 7357 9
732 288 20
732 5312 15
732 2708 7
732 4654 18
732 777 8
732 4808 19
732 5946 3
732 2376 4
733 734 14
733 5534 2
733 7952 18
733 961 4
733 6001 6
733 5436 8
733 8065 5
733 2711 15
733 2828 19
733 1045 12
733 796 7
734 735 19
734 6443 7
734 3487 13
734 7043 13
734 2930 7
734 3362 19
734 7682 1
734 716 11
734 4952 20
734 3919 19
734 6274 20
734 4731 10
734 1993 17
734 7886 2
734 4207 7
734 4525 18
734 6836 3
734 5667 17
734 2540 17
734 2800 11
734 2487 14
734 258 12
735 736 5
735 1897 19
735 3490 12
735 4521 9
735 616 19
735 7106 10
735 7628 8
735 2491 10
735 1404 11
735 1590 4
735 1691 19
736 737 4
736 4519 3
736 387 7
736 3196 10
736 1807 18
736 5177 17
736 1011 5
736 1365 8
736 5871 11
736 6768 1
736 1838 5
736 398 4
736 5881 11
736 7912 19
736 1660 19
737 738 6
737 7586 6
737 1940 20
737 2200 9
737 879 16
737 2506 4
737 2711 16
738 739 2
738 4486 19
738 7395 4
738 6450 5
738 3878 15
738 5402 4
738 4145 7
738 1309 6
738 4126 3
738 7658 7
738 555 16
738 2979 1
739 740 5
739 5827 4
739 3289 18
739 890 3
739 5446 3
739 2496 15
739 2093 12
739 6726 3
739 4781 7
739 3573 12
739 3754 1
739 7720 7
740 741 3
740 5510 20
740 716 14
740 6909 13
740 4549 4
740 3806 4
740 3168 5
740 883 13
740 5028 16
740 7442 9
740 1518 20
741 742 8
741 8112 14
741 340 14
741 4836 8
741 7102 15
741 1631 10
741 2527 8
741 7057 10
741 3954 2
741 3567 17
741 7072 8
741 6898 13
741 2894 16
741 4774 2
741 6864 6
741 3395 1
741 6781 19
741 6133 11
742 743 1
742 4386 14
742 6788 8
742 7849 8
742 350 6
742 2868 4
742 944 19
742 2551 10
742 3258 1
742 4478 9
742 2471 10
742 1986 3
743 744 1
743 1425 1
743 5256 10
743 6144 18
743 1094 12
743 7288 11
743 7742 19
743 8079 10
743 5137 20
743 3064 14
743 609 17
744 745 2
744 4165 18
744 275 11
744 5893 1
744 6573 7
744 6823 1
744 8109 18
744 2644 7
744 460 13
744 3063 11
744 2876 10
744 426 5
744 6022 4
745 746 13
745 7708 5
745 4580 12
745 5454 14
745 6964 15
745 4875 17
745 5509 15
746 747 14
746 464 10
746 1959 3
746 6004 12
746 6517 18
746 7532 2
746 2317 5
746 1208 6
746 1015 15
746 7353 19
747 748 7
747 6842 2
747 5105 4
747 5333 5
747 7537 7
747 5205 18
747 2500 11
747 2296 8
748 749 2
748 196 7
748 4670 4
748 4290 4
748 5942 20
748 1279 9
748 6032 11
748 5815 19
748 3876 13
748 5539 2
749 750 14
749 7031 15
749 6258 11
749 6215 14
749 6231 20
749 7794 12
749 5968 20
749 8146 11
749 5769 4
749 2785 12
750 751 7
750 5707 3
750 5731 2
750 5945 7
750 3049 20
750 7149 4
750 7796 9
750 6490 4
750 7125 3
750 4032 6
750 4336 16
751 752 8
751 6732 14
751 545 7
751 7566 7
751 6773 4
751 3897 7
751 119 19
751 1747 14
751 1320 20
751 1176 4
751 846 14
751 3248 20
751 3711 16
751 235 20
752 753 17
752 8073 17
752 1146 11
752 5119 15
752 7330 11
752 6662 3
752 6133 13
752 2248 17
752 2966 3
752 7437 19
752 4879 5
752 7512 12
752 3655 14
752 1357 1
752 5002 2
753 754 14
753 7981 1
753 7498 20
753 1180 2
753 6457 7
753 1556 15
753 3477 5
753 5461 3
753 742 14
753 6884 9
753 7259 16
753 7145 7
754 755 1
754 4426 17
754 6581 8
754 7005 18
754 1870 15
754 3554 5
754 2035 13
754 2961 8
754 224 13
754 2324 7
754 5411 4
754 4806 16
754 208 17
754 5474 20
755 756 7
755 1995 10
755 7836 12
755 5096 12
755 3438 20
755 6680 2
755 2822 14
756 757 17
756 5681 14
756 4246 12
756 2681 1
756 7138 11
756 6500 16
756 1877 7
757 758 6
757 1076 10
757 2803 8
757 5713 3
757 2567 8
757 5956 10
757 5114 12
757 4796 6
757 1652 6
757 1020 5
757 6989 14
758 759 6
758 3169 15
758 1386 10
758 4560 12
758 2789 8
758 4001 11
758 992 12
758 260 5
758 3242 15
759 760 10
759 2120 11
759 1010 13
759 7315 15
759 2845 6
759 591 14
759 5384 12
759 3831 14
759 5634 16
759 1248 6
759 892 20
759 3112 3
759 5141 13
759 3794 17
760 761 3
760 4670 11
760 2924 6
760 3937 20
760 3029 4
760 6684 17
760 3046 10
760 3101 16
760 3169 15
760 6949 7
760 6451 12
761 762 14
761 7447 2
761 723 8
761 3712 13
761 3653 17
761 7428 13
761 4609 19
761 6106 12
761 5140 11
761 2884 17
761 5112 19
761 2683 9
761 6957 4
761 26 8
761 3488 10
762 763 14
762 3361 7
762 4974 4
762 5331 10
762 2808 10
763 764 7
763 1050 19
763 6123 15
763 4167 18
763 4415 17
763 1158 20
763 1497 6
763 8017 11
763 3964 15
763 803 8
763 1522 7
763 5901 18
763 5336 11
764 765 13
764 1551 11
764 1465 9
764 2552 4
764 7003 8
764 2470 7
764 6290 19
764 854 6
764 1782 5
764 5935 10
764 4723 12
764 7067 12
764 2172 19
764 5575 13
764 2599 9
764 5461 15
764 3225 4
765 766 19
765 1082 11
765 2925 5
765 4981 6
765 3134 1
765 3209 20
765 3509 16
765 1304 15
765 2054 5
765 5028 2
765 4437 13
765 623 19
765 3297 1
766 767 18
766 7125 3
766 4624 12
766 2783 8
766 7158 14
767 768 1
767 4748 16
767 4617 4
767 5907 6
767 4843 14
767 5616 9
767 776 16
767 3938 9
767 63 14
767 2211 16
767 707 1
767 5622 5
768 769 15
768 4502 11
768 3014 3
768 6082 13
768 4583 7
768 7126 15
768 1762 6
768 5957 20
769 770 9
769 5428 7
769 285 19
769 2665 8
769 3939 5
769 675 14
769 2865 9
769 888 14
770 771 17
770 3007 20
770 6149 5
770 3086 6
770 1715 7
770 434 10
770 1081 8
770 1237 7
770 2560 20
770 4968 2
770 6910 5
770 7062 16
770 1974 13
770 7390 10
771 772 20
771 7848 16
771 7742 6
771 3965 18
771 1556 5
771 4693 12
771 5000 16
771 6568 16
771 7155 2
771 2512 20
771 6247 18
771 7964 20
771 2397 17
772 773 6
772 6113 3
772 7795 11
772 5192 5
772 1011 3
772 3778 11
772 6543 4
772 6267 2
772 5629 1
772 5278 19
773 774 11
773 7571 17
773 1412 20
773 5919 4
773 2587 13
773 3315 8
773 7723 14
773 6177 15
773 3379 10
773 7759 1
773 7863 8
774 775 4
774 6255 16
774 6979 15
774 817 12
774 1151 5
774 2618 10
774 5009 19
774 7547 6
774 4840 14
774 1973 2
775 776 9
775 7133 15
775 3847 14
775 6640 7
775 3081 14
775 7879 16
775 3023 12
775 4719 20
775 458 2
775 5574 17
775 6274 17
775 6509 3
776 777 16
776 7922 18
776 5155 12
776 3801 12
776 258 14
776 520 2
776 268 10
776 7537 1
776 458 20
777 778 12
777 6732 15
777 6499 7
777 5229 7
777 2752 12
777 4197 8
777 5283 12
777 7650 4
777 6137 15
777 6302 4
777 2281 15
777 554 5
777 3878 7
777 6012 10
777 5890 1
777 6837 3
778 779 17
778 3319 5
778 7009 14
778 6193 1
778 7656 7
778 7457 12
778 7499 20
778 1157 2
778 1646 16
778 7985 15
778 1151 10
779 780 12
779 2809 2
779 975 9
779 3049 3
779 6196 5
779 7805 18
779 1258 19
779 3383 12
779 4835 11
780 781 20
780 7937 19
780 1730 5
780 4424 4
780 924 5
781 782 15
781 6609 9
781 1494 18
781 4285 19
781 462 13
781 7456 1
781 2582 8
781 5545 6
782 783 9
782 1803 1
782 6913 16
782 4006 5
782 1231 15
782 7537 9
782 7103 14
783 784 3
783 7941 19
783 1814 1
783 6657 20
783 1697 15
783 7833 13
783 7409 2
783 4603 19
783 4998 5
783 7194 4
784 785 8
784 1506 10
784 1745 7
784 5040 4
784 1580 3
784 6311 18
784 943 19
784 4433 9
785 786 6
785 606 8
785 4162 8
785 2954 8
785 5912 14
785 664 5
785 6849 4
785 3288 8
786 787 16
786 1902 6
786 7813 8
786 7445 11
786 6484 1
786 2117 17
786 3277 6
786 2649 11
786 3837 11
786 4541 6
786 165 12
786 2254 2
786 3620 17
786 2769 9
786 6985 7
786 5388 8
787 788 12
787 1356 17
787 2210 5
787 2308 16
787 1431 14
787 3214 14
787 8102 5
787 8148 2
787 6759 14
787 7093 8
788 789 7
788 1680 14
788 4455 2
788 5799 3
788 1106 7
788 7469 13
788 4557 15
788 7872 6
788 7228 19
789 790 18
789 289 13
789 775 10
789 7077 16
789 6974 14
789 7720 17
789 2497 8
789 1830 4
790 791 19
790 3946 2
790 3154 4
790 2284 19
790 5023 5
790 2066 3
790 2099 2
790 4989 17
791 792 12
791 663 4
791 5236 6
791 4218 20
791 4919 17
791 960 18
791 3137 14
791 2334 11
791 3728 14
791 4081 9
791 7409 10
791 2825 17
791 2166 18
791 3803 13
791 6107 2
791 6002 8
791 5346 18
792 793 18
792 1021 15
792 6709 17
792 7699 6
792 8160 7
792 6239 4
792 1892 13
792 5835 7
792 2557 10
792 5184 6
792 5452 7
792 1384 20
792 5841 7
793 794 5
793 3627 11
793 6000 5
793 8084 5
793 7944 20
793 4427 6
793 5537 2
793 4112 14
793 36 7
793 2817 15
794 795 9
794 417 4
794 1385 2
794 5282 8
794 1884 14
794 7944 18
794 7861 8
794 1828 3
795 796 14
795 162 15
795 3491 3
795 7178 16
795 689 2
795 8108 16
795 239 17
795 5952 5
796 797 16
796 1935 6
796 4684 8
796 1923 12
796 7737 8
796 2759 12
796 4665 18
796 7192 20
797 798 15
797 6335 5
797 2506 6
797 2893 3
797 7919 18
797 3268 18
797 7516 8
797 6022 16
797 1521 14
797 6107 9
797 218 9
797 721 4
797 4412 12
798 799 16
798 7741 18
798 6711 18
798 4556 17
798 2975 10
798 3214 4
798 2590 14
798 7489 1
798 1334 19
798 5744 18
798 4029 8
798 5911 6
799 800 5
799 2041 18
799 3609 1
799 1576 5
799 466 15
799 3344 11
799 5160 17
799 6942 15
799 2684 7
799 7903 5
799 4310 20
799 8147 19
799 5219 1
799 392 18
799 3854 8
800 801 3
800 6909 16
800 7266 13
800 3474 10
800 304 9
800 6306 15
800 2973 7
800 2453 17
800 2535 6
800 7742 5
800 4271 17
800 3235 15
801 802 8
801 7348 5
801 8182 11
801 4773 7
801 3301 3
801 466 12
801 3610 11
802 803 19
802 6371 1
802 947 15
802 4714 16
802 5956 14
802 2481 2
802 3362 20
802 3597 16
802 3687 16
802 6447 6
802 3029 9
802 3280 6
802 5668 7
802 5850 2
802 1127 17
802 7892 7
802 7861 6
803 804 11
803 3979 3
803 124 11
803 7682 8
803 2369 17
803 5712 17
803 2658 20
803 1829 16
803 7904 9
803 4200 6
803 4019 11
804 805 11
804 3955 6
804 1781 11
804 4655 15
804 2903 20
804 7339 18
804 3584 4
804 5976 6
805 806 10
805 7669 9
805 2231 7
805 3590 1
805 1225 16
805 6908 18
805 3630 12
805 5131 4
805 4999 13
805 6626 9
805 2685 19
806 807 17
806 216 6
806 7608 12
806 3234 6
806 5305 8
806 1628 16
806 2147 2
806 1980 19
806 4216 20
806 2682 6
806 7586 20
806 5757 16
